X,Y,OBJECTID,PARK_ID,FACILITYID,COURT_ID,PARKNAME,PARKNAME_FR,CLUB,CLUB_FR,SURFACE_COLOUR,ADDRESS,ADDRESS_FR,NO_COURTS,INDOOR_COURT,OUTDOOR_COURT,LIGHTS,CLUBHOUSE,BENCHES,FENCE,PRACTICE_COURT,BACKWALL,COURT_TYPE,COURT_TYPE_FR,ACCESSIBLE,OPEN,MODIFIED_DATE,CREATED_DATE,SURFACE_COLOUR_FR,PARKADDRESS,PARKADDRESS_FR,LINK,LINK_FR,LINK_LABEL,LINK_LABEL_FR,LINK_DESCRIPTION,LINK_DESCRIPTION_FR,PICKLEBALL
-75.7188230509703,45.3618383972568,114,320,27027,12,Steve MacLean Park,Parc Steve-MacLean,Long Park Tennis Club,Club de tennis de Long Park,Green Acrylic,"1190 Deer Park Road, Nepean","1190, chemin Deer Park, Nepean",4,0,4,no/non,yes/oui,no/non,no/non,no/non,yes/oui,Membership Clubs,Abonnement des clubs,no/non,,2018/01/17 09:09:52+00,,acrylique vert,"1190 Deer Park Road, Nepean","1190, chemin Deer Park, Nepean",,,,,,,0
-75.7534355089733,45.384029618153,115,338,3792,21,Westboro Kiwanis Park,Parc Westboro Kiwanis,Public Tennis Courts,Courts de tennis publics,Asphalt,"411 Dovercourt Avenue, Ottawa","411, avenue Dovercourt, Ottawa",1,0,1,no/non,no/non,no/non,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2021/08/18 10:51:52+00,,asphalte,"411 Dovercourt Avenue, Ottawa","411, avenue Dovercourt, Ottawa",,,,,,,0
-75.5076574856907,45.471295212594,116,343,27007,17,Queenswood Heights Centennial Park and Community Centre,Centre communautaire et parc du centenaire Queenswood Heights,Queenswood/Fallingbrook Tennis Club,Club de tennis de Queenswood/Fallingbrook,Clay,"1485 Duford Drive, Cumberland","1485, promenade Duford, Cumberland",3,0,3,yes/oui,no/non,yes/oui,yes/oui,no/non,no/non,Membership Clubs,Abonnement des clubs,no/non,,2018/01/17 09:09:34+00,,argile,"1485 Duford Drive, Cumberland","1485, promenade Duford, Cumberland",,,,,,,0
-75.4029510994421,45.5144758817432,117,348,27053,80,Wilfred Murray Park / R.J. Kennedy Community Hall and Arena,Parc Wilfred-Murray / Aréna et salle communautaire R.-J.-Kennedy,Cumberland Linons Tennis Club (Betty von Tobel Courts),Club de tennis Cumberland lions (terrains Betty-von-Tobel),Blue Acrylic,"1115 Dunning Road, Cumberland","1115, chemin Dunning, Cumberland",2,0,2,yes/oui,yes/oui,no/non,yes/oui,no/non,yes/oui,Public Courts,Courts publics,no/non,,2021/08/18 10:00:56+00,,acrylique bleu,"1115 Dunning Road, Cumberland","1115, chemin Dunning, Cumberland",,,,,,,1
-75.7187955032338,45.3980929757408,118,385,3735,25,Princess Margriet Park,Parc de la Princesse-Margriet,Public Tennis Courts,Courts de tennis publics,Green Acrylic,"265 Fairmont Avenue, Ottawa","265, avenue Fairmont, Ottawa",2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2019/02/27 10:19:52+00,,acrylique vert,"265 Fairmont Avenue, Ottawa","265, avenue Fairmont, Ottawa",,,,,,,2
-75.4837042473045,45.4662554855773,119,420,27030,29,Gardenway Park,Parc Gardenway,Public Tennis Courts,Courts de tennis publics,Green Acrylic,"2001 Gardenway Drive, Cumberland","2001, promenade Gardenway, Cumberland",3,0,3,yes/oui,no/non,yes/oui,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2019/02/27 10:38:08+00,,acrylique vert,"2001 Gardenway Drive, Cumberland","2001, promenade Gardenway, Cumberland",,,,,,,2
-75.5364315617952,45.4625534597139,120,476,27003,64,Racette Park,Parc Racette,Public Tennis Courts,Courts de tennis publics,Green Acrylic,"1410 Henri Lauzon Street, Gloucester","1410, rue Henri-Lauzon, Gloucester",2,0,2,yes/oui,no/non,yes/oui,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2021/08/17 15:42:14+00,,acrylique vert,"1410 Henri Lauzon Street, Gloucester","1410, rue Henri-Lauzon, Gloucester",,,,,,,2
-75.6066181925849,45.3365277389001,121,484,27043,37,Kemp Park,Parc Kemp,Public Tennis Courts,Courts de tennis publics,Asphalt,"11 Robert Kemp Street, Gloucester","11, rue Robert-Kemp, Gloucester",1,0,1,no/non,no/non,no/non,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2022/06/22 15:45:37+00,,asphalte,"11 Robert Kemp Street, Gloucester","11, rue Robert-Kemp, Gloucester",,,,,,,1
-75.6215807816888,45.4373164972711,122,675,27035,14,Carson Grove Park,Parc Carson Grove,Public Tennis Courts,Courts de tennis publics,Green Acrylic,"1423 Matheson Road, Gloucester","1423, chemin Matheson, Gloucester",2,0,2,yes/oui,no/non,yes/oui,yes/oui,no/non,yes/oui,Public Courts,Courts publics,no/non,,2018/01/17 09:10:03+00,,acrylique vert,"1423 Matheson Road, Gloucester","1423, chemin Matheson, Gloucester",,,,,,,0
-75.7952806033661,45.3449796868472,123,728,3799,51,Morrison Park,Parc Morrison,Public Tennis Courts,Courts de tennis publics,Asphalt,"1095 Morrison Drive, Ottawa","1095, promenade Morrison, Ottawa",2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2021/08/18 10:51:56+00,,asphalte,"1095 Morrison Drive, Ottawa","1095, promenade Morrison, Ottawa",,,,,,,0
-75.8843140963274,45.29499853253,124,776,27014,9,Beaton Park,Parc Beaton,Glen Cairn Tennis Club,Club de tennis de Glen Cairn,Green Acrylic,"70 Castlefrank Road, Kanata","70, chemin Castlefrank, Kanata",4,0,4,yes/oui,yes/oui,yes/oui,yes/oui,yes/oui,yes/oui,Membership Clubs,Abonnement des clubs,no/non,,2018/01/17 09:10:27+00,,acrylique vert,"70 Castlefrank Road, Kanata","70, chemin Castlefrank, Kanata",,,,,,,0
-75.668747895575,45.4284654345677,125,921,27064,65,Riverain Park,Parc Riverain,Public Tennis Courts,Courts de tennis publics,Green Acrylic,"400 North River Road, Vanier","400, chemin North River, Vanier",4,0,4,yes/oui,no/non,yes/oui,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2019/02/27 10:17:24+00,,acrylique vert,"400 North River Road, Vanier","400, chemin North River, Vanier",,,,,,,2
-75.7150468775706,45.2657693278702,126,963,27044,18,Davidson Park,Parc Davidson,Ryerson Tennis Club,Club de tennis Ryerson,Green Acrylic,"5 Ryerson Avenue, Nepean","5, avenue Ryerson, Nepean",2,0,2,yes/oui,no/non,yes/oui,yes/oui,no/non,yes/oui,Membership Clubs,Abonnement des clubs,no/non,,2021/12/09 15:32:50+00,,acrylique vert,"5 Ryerson Avenue, Nepean","5, avenue Ryerson, Nepean",,,,,,,0
-75.7839925253212,45.3468855947571,127,1022,3798,39,Kilreen Park,Parc Kilreen,Public Tennis Courts,Courts de tennis publics,Asphalt,"1250 Southwood Drive, Ottawa","1250, promenade Southwood, Ottawa",2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2021/08/18 10:51:55+00,,asphalte,"1250 Southwood Drive, Ottawa","1250, promenade Southwood, Ottawa",,,,,,,0
-75.525175363163,45.476175892661,128,1053,27009,59,Pierre Rocque Park,Parc Pierre-Rocque,Public Tennis Courts,Courts de tennis publics,Green Acrylic,"1257 Joseph Drouin Avenue, Gloucester","1257, avenue Joseph-Drouin, Gloucester",2,0,2,yes/oui,no/non,yes/oui,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2019/02/27 10:36:08+00,,acrylique vert,"1257 Joseph-Drouin Avenue, Gloucester","1257, avenue Joseph-Drouin, Gloucester",,,,,,,2
-75.6756818960317,45.3941357238206,129,1186,3794,79,Windsor Park Ottawa,Parc Windsor (Ottawa),Public Tennis Courts,Courts de tennis publics,Green Acrylic,"1B Windsor Avenue, Ottawa","1B, avenue Windsor, Ottawa",4,0,4,no/non,no/non,no/non,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2019/02/27 10:23:05+00,,acrylique vert,"1B Windsor Avenue, Ottawa","1B, avenue Windsor, Ottawa",,,,,,,2
-75.734427358784,45.367676412701,130,1588,27001,58,Celebration Park,Parc Celebration,Public Tennis Courts,Courts de tennis publics,Green Acrylic,"200 Central Park Drive, Ottawa","200, promenade Central Park, Ottawa",2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2018/01/17 09:10:37+00,,acrylique vert,"200 Central Park Drive, Ottawa","200, promenade Central Park, Ottawa",,,,,,,0
-75.4571349989283,45.4615247948672,131,1960,36409,62,Provence Park,Parc Provence,Public Tennis Courts,Courts de tennis publics,Green Acrylic,"2095 Provence Avenue, Cumberland","2095, avenue Provence, Cumberland",2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2018/01/17 09:09:28+00,,acrylique vert,"2095 Provence Avenue, Cumberland","2095, avenue Provence, Cumberland",,,,,,,0
-75.8464360969766,45.273796368121,132,2494,35117,,Crownridge Park,Parc Crownridge,Public Tennis Courts,Courts de tennis publics,Green Acrylic,"290 Meadowbreeze Drive, Kanata","290, promenade Meadowbreeze, Kanata",2,0,2,yes/oui,no/non,no/non,yes/oui,no/non,no/non,Public Courts,Courts publics,yes/oui,,2021/08/17 13:01:15+00,2015/09/17 11:32:10+00,acrylique vert,290 Meadowbreeze Drive,"290, promenade Meadowbreeze",,,,,,,2
